trait_id	original_category	product_module	trait_name_original	trait_name_consumer_friendly	scientific_description_short	what_can_be_tested	what_cannot_be_claimed	number_of_rsids	rsids	genes_cleaned	has_pdf_only_candidate_rsids	has_structured_catalog_rsids	marker_validation_status	requires_external_annotation	requires_clinvar_review	requires_gwas_review	requires_pharmgkb_review	requires_manual_scientific_review	privacy_or_regulatory_sensitivity	recommended_product_tier	mvp_include_candidate_yes_no	reason_for_tier	recommended_report_language	required_caveat	notes
wg-ancestry-analysis	ancestry	Ancestry	Ancestry Analysis	Ancestry	Ancestry and haplogroup analysis related to Ancestry Analysis.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-ancestry-overview	ancestry	Ancestry	Ancestry Overview	Ancestry	Ancestry and haplogroup analysis related to Ancestry Overview.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-maternal-haplogroup	ancestry	Ancestry	Maternal Haplogroup	Maternal Haplogroup	Ancestry and haplogroup analysis related to Maternal Haplogroup.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-maternal-haplogroup-report	ancestry	Ancestry	Maternal Haplogroup Report	Maternal Haplogroup	Ancestry and haplogroup analysis related to Maternal Haplogroup Report.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-neanderthal-ancestry	ancestry	Ancestry	Neanderthal Ancestry	Neanderthal Ancestry	Ancestry and haplogroup analysis related to Neanderthal Ancestry.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-paternal-haplogroup	ancestry	Ancestry	Paternal Haplogroup	Paternal Haplogroup	Ancestry and haplogroup analysis related to Paternal Haplogroup.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-paternal-haplogroup-report	ancestry	Ancestry	Paternal Haplogroup Report	Paternal Haplogroup	Ancestry and haplogroup analysis related to Paternal Haplogroup Report.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-paternal-haplogroup-tree	ancestry	Ancestry	Paternal Haplogroup Tree	Paternal Haplogroup Tree	Ancestry and haplogroup analysis related to Paternal Haplogroup Tree.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. Results are probabilistic and for informational/wellness purposes only.	0			no	no	no_markers	no	no	no	no	no	low	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	Ancestry module - typically not SNP-marker based.
wg-1539	genetic_disease	Disease Risk (Sensitive)	3-Methylcrotonyl CoA Carboxylase 2 Deficiency	3-Methylcrotonyl CoA Carboxylase 2 Deficiency	Genetic variants associated with 3-Methylcrotonyl CoA Carboxylase 2 Deficiency. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to 3-Methylcrotonyl CoA Carboxylase 2 Deficiency.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs119103226	MCCC2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2154	genetic_disease	Disease Risk (Sensitive)	3-Methylglutaconic Aciduria (MGA)	3-Methylglutaconic Aciduria (MGA)	Genetic variants associated with 3-Methylglutaconic Aciduria (MGA). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to 3-Methylglutaconic Aciduria (MGA).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs38790;rs39751;rs104894942;rs144078282;rs185461628	ACTA2;APC;BTD;CEP290;CLPB;COL3A1;IQCB1;LOX;MYH11;MYLK;PRKG1;SDCCAG8;SERAC1;SLC26A;SLC26A4;SMAD3;TAFAZZIN;TGFB2;TGFBR1;WDR19	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
